,First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
3,Jerry,Male,3/4/2005,1:00 PM,138705,9.34,True,Finance
46,Bruce,Male,11/28/2009,10:47 PM,114796,6.796,False,Finance
56,Carl,Male,5/3/2006,5:55 PM,130276,16.084,True,Finance
68,Jose,Male,10/30/2004,1:39 PM,84834,14.33,True,Finance
83,Shawn,Male,9/23/2005,2:55 AM,148115,6.539,True,Finance
117,Steven,Male,3/1/1995,3:03 PM,109095,9.494,False,Finance
200,Gary,Male,8/12/1987,12:04 AM,89661,8.525,False,Finance
205,Brandon,Male,3/27/2006,5:54 PM,115711,8.012,True,Finance
219,Billy,Male,3/13/1995,12:05 PM,120444,7.768,True,Finance
222,Jason,Male,10/17/1999,10:09 PM,78417,3.067,False,Finance
241,Walter,Male,7/6/1983,11:54 PM,127813,5.961,False,Finance
286,Todd,Male,2/2/1984,10:13 AM,69989,10.985,True,Finance
304,Jeremy,Male,8/12/1981,12:05 AM,46930,18.702,True,Finance
318,Roy,Male,8/6/2006,7:52 AM,148225,1.841,False,Finance
328,Samuel,Male,12/19/1991,2:54 AM,76076,5.319,True,Finance
335,Robert,Male,11/18/2014,5:00 AM,85799,19.93,False,Finance
341,Carlos,Male,9/19/2007,1:01 AM,77327,11.58,True,Finance
348,Philip,Male,8/2/1989,11:21 AM,129968,19.897,False,Finance
420,Justin,Male,5/22/1986,6:30 AM,121508,19.334,True,Finance
428,Christopher,Male,5/13/1999,10:48 AM,68028,7.869,True,Finance
458,Albert,Male,9/30/2007,5:34 PM,102626,15.843,False,Finance
493,Craig,Male,11/1/2005,11:31 PM,44857,13.266,False,Finance
582,Harry,Male,11/19/1982,11:25 AM,59277,10.2,False,Finance
618,Peter,Male,11/24/1992,5:43 PM,69297,1.268,False,Finance
620,Ralph,Male,3/7/2012,2:25 AM,81215,8.4,False,Finance
710,Edward,Male,11/27/1997,1:00 AM,58327,17.095,True,Finance
725,Jeremy,Male,5/19/1991,1:40 PM,131513,1.876,True,Finance
732,Henry,Male,5/12/1986,2:04 AM,59943,1.432,False,Finance
790,Fred,Male,3/3/1989,2:27 AM,129712,11.058,False,Finance
809,George,Male,9/27/1995,5:04 PM,36749,19.754,False,Finance
831,Kenneth,Male,1/15/2015,2:41 PM,69112,7.588,True,Finance
837,Joseph,Male,5/23/1985,10:16 PM,139570,15.804,True,Finance
854,Harry,Male,2/10/1985,7:46 PM,63046,10.411,False,Finance
861,Jerry,Male,3/26/1989,4:15 AM,140850,18.855,False,Finance
891,Timothy,Male,8/25/1991,10:37 AM,92587,8.475,False,Finance
954,Joe,Male,1/19/1980,4:06 PM,119667,1.148,True,Finance
992,Anthony,Male,10/16/2011,8:35 AM,112769,11.625,True,Finance
996,Phillip,Male,1/31/1984,6:30 AM,42392,19.675,False,Finance
